Symbol,Name,Exchange,add_to_asset
VNX.VN,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại Vinexad,VnStock,0
VNT.VN,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,VnStock,0
VNS.VN,Công ty Cổ phần Ánh Dương Việt Nam,VnStock,1
VNR.VN,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam,VnStock,0
VNP.VN,Công ty Cổ phần Nhựa Việt Nam,VnStock,0
VNM.VN,Công ty Cổ phần Sữa Việt Nam,VnStock,1
VNL.VN,Công ty Cổ phần Logistics Vinalink,VnStock,1
VNI.VN,Công ty Cổ phần Đầu tư Bất động sản Việt Nam,VnStock,0
VNH.VN,Công ty Cổ phần Đầu tư Việt Việt Nhật,VnStock,0
VNG.VN,Công ty Cổ phần Du Lịch Thành Thành Công,VnStock,1
VNF.VN,Công ty Cổ phần Vinafreight,VnStock,0
VNE.VN,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,VnStock,1
VND.VN,Công ty Cổ phần Chứng khoán VNDIRECT,VnStock,1
VNC.VN,Công ty Cổ phần Tập đoàn Vinacontrol,VnStock,0
VNB.VN,Công ty Cổ phần Sách Việt Nam,VnStock,0
VNA.VN,Công ty Cổ phần Vận tải biển Vinaship,VnStock,0
VMT.VN,Công ty Cổ phần Giao nhận Vận tải Miền Trung,VnStock,0
VMS.VN,Công ty Cổ phần Phát triển Hàng Hải,VnStock,0
VMK.VN,Công ty Cổ phần Vimarko,VnStock,0
VMI.VN,Công ty Cổ phần Khoáng sản và Đầu tư VISACO,VnStock,0
VMG.VN,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu,VnStock,0
VMD.VN,Công ty Cổ phần Y Dược phẩm Vimedimex,VnStock,1
VMC.VN,Công ty Cổ phần VIMECO,VnStock,0
VMA.VN,Công ty Cổ phần Công nghiệp Ô tô - Vinacomin,VnStock,0
VLW.VN,Công ty Cổ phần Cấp nước Vĩnh Long,VnStock,0
VLP.VN,Công ty Cổ phần Công trình Công cộng Vĩnh Long,VnStock,0
VLG.VN,Công ty Cổ phần VIMC Logistics,VnStock,0
VLF.VN,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,VnStock,0
VLC.VN,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần,VnStock,0
VLB.VN,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa,VnStock,0
VLA.VN,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang,VnStock,0
VKP.VN,Công ty Cổ phần Nhựa Tân Hóa,VnStock,0
VKD.VN,Công ty Cổ phần Nước khoáng Khánh Hòa,VnStock,0
VKC.VN,Công ty Cổ phần VKC Holdings,VnStock,0
VJC.VN,Công ty Cổ phần Hàng không Vietjet,VnStock,1
VIX.VN,Công ty Cổ phần Chứng khoán VIX,VnStock,1
